date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:02	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Dec%202019%2020:39:58%20GMT	https://uicookies.com/robots.txt		(from )
23:40:02	26100/26100	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202018%2001:30:48%20GMT	https://uicookies.com/demo/theme/law/	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/index.html	(from )
23:40:03	151442/151442	---MCZ	200	added ('OK')	text/css	etag:W/%225a614d67-2de2f%22	https://uicookies.com/demo/theme/law/assets/css/bootstrap/bootstrap.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/bootstrap/bootstrap.css	(from https://uicookies.com/demo/theme/law/)
23:40:03	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%225a614dce-c854%22	https://uicookies.com/demo/theme/law/assets/fonts/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/ionicons/css/ionicons.min.css	(from https://uicookies.com/demo/theme/law/)
23:40:03	832/832	---MCZ	200	added ('OK')	text/css	etag:W/%225a614de1-42e%22	https://uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/law-icons/font/flaticon.css	(from https://uicookies.com/demo/theme/law/)
23:40:03	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a614db7-7918%22	https://uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/fonts/fontawesome/css/font-awesome.min.css	(from https://uicookies.com/demo/theme/law/)
23:40:03	1523/1523	---MCZ	200	added ('OK')	text/css	etag:W/%225a614a67-780%22	https://uicookies.com/demo/theme/law/assets/css/slick.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/slick.css	(from https://uicookies.com/demo/theme/law/)
23:40:04	1513/1513	---MCZ	200	added ('OK')	text/css	etag:W/%225a614a5d-7aa%22	https://uicookies.com/demo/theme/law/assets/css/slick-theme.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/slick-theme.css	(from https://uicookies.com/demo/theme/law/)
23:40:04	35905/35905	---MCZ	200	added ('OK')	text/css	etag:W/%225a614a7b-b454%22	https://uicookies.com/demo/theme/law/assets/css/style.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/style.css	(from https://uicookies.com/demo/theme/law/)
23:40:04	1426961/1426961	---MCZ	200	added ('OK')	text/css	etag:W/%225a614d53-15c741%22	https://uicookies.com/demo/theme/law/assets/css/helpers.css	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/css/helpers.css	(from https://uicookies.com/demo/theme/law/)
23:40:05	26100/26100	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202018%2001:30:48%20GMT	https://uicookies.com/demo/theme/law/index.html	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/index-2.html	(from https://uicookies.com/demo/theme/law/)
23:40:05	57686/57686	---M--	200	added ('OK')	image/jpeg	etag:%225a614adb-e156%22	https://uicookies.com/demo/theme/law/assets/images/1900x1200_img_7.jpg	C:/My%20Web%20Sites/companyprofileeee/uicookies.com/demo/theme/law/assets/images/1900x1200_img_7.jpg	(from https://uicookies.com/demo/theme/law/)
